"V1"	"V2"	"V3"	"V4"
"GO:0009987-cellular process"	64.5745777508785	33.4220585331067	14.696073424911	13.1071604269295
"GO:0044238-primary metabolic process"	39.7576376888392	17.6146748149978	10.132566262257	8.3137014641785
"GO:0006807-nitrogen compound metabolic process"	34.9994904695901	15.639361700593	9.67507520747582	10.7184942610741
"GO:0009058-biosynthetic process"	22.5306832540844	20.8662242924056	3.59650303562873	11.0350352911518
"GO:0044281-small molecule metabolic process"	12.616082595461	9.19735566263673	3.13116654920844	10.20402734732
"GO:0043170-macromolecule metabolic process"	30.3805368405656	12.9362288009547	7.35808732408781	0.690987451147094
"GO:0006725-cellular aromatic compound metabolic process"	21.5713790207541	6.04059915680991	7.29158592213529	4.90123794348872
"GO:0044260-cellular macromolecule metabolic process"	18.9661626856549	10.1201412761506	4.38076835988388	0.425695134938145
"GO:0006139-nucleobase-containing compound metabolic process"	20.1459991070474	5.5770472360844	6.91619681889379	0.636840668848807
"GO:0090304-nucleic acid metabolic process"	17.8461107269851	4.98046850703571	5.53691122720741	0.472759736443579
"GO:0016070-RNA metabolic process"	8.00195933280298	2.23139293010445	2.80584824590275	0.45300311278197
"GO:0016740-transferase activity"	35.2473818444477	25.2219135198348	5.70156173722431	0.385870190602663
"GO:0016829-lyase activity"	8.34035767700107	12.8578529264824	1.08506841307294	6.80570363216528
"GO:0016772-transferase activity, transferring phosphorus-containing groups"	16.653944916226	16.4055835048837	2.09654471978556	0.14968868687208
"GO:0016779-nucleotidyltransferase activity"	8.4654887360805	10.5419536784873	0.834599437938238	0.132457814660087
