feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0009987.cellular.process.cellular.process	case	Control_Healthy	1.35984288520978	0.205901112066531	86	74	3.99266864456731e-11	3.1142815427625e-09
GO.0016787.hydrolase.activity.hydrolase.activity	case	Control_Healthy	-1.39476283459437	0.253624884515032	86	69	3.81272022705079e-08	1.48696088854981e-06
GO.0008152.metabolic.process.metabolic.process	case	Control_Healthy	0.945140120046017	0.183677161664799	86	76	2.66582674636679e-07	6.93114954055366e-06
GO.0016740.transferase.activity.transferase.activity	case	Control_Healthy	2.57250576059727	0.523489709606158	86	58	8.9169503007881e-07	1.73880530865368e-05
GO.0009987.cellular.process.cellular.process	case	Community_acquired_pneumonia	0.989915650652845	0.208955559956886	86	74	2.16428659997608e-06	3.37628709596268e-05
GO.0016787.hydrolase.activity.hydrolase.activity	case	Community_acquired_pneumonia	-1.0910377353862	0.246953864035815	86	69	9.96266982614321e-06	0.000129514707739862
GO.0016740.transferase.activity.transferase.activity	case	Community_acquired_pneumonia	2.30157976128805	0.542812633544766	86	58	2.23420390016716e-05	0.000248954148875769
GO.0044237.cellular.metabolic.process.cellular.metabolic.process	case	Control_Healthy	1.01571262958751	0.245091830208599	86	72	3.40983425599485e-05	0.000332458839959497
GO.0071704.organic.substance.metabolic.process.organic.substance.metabolic.process	case	Control_Healthy	0.900391362678161	0.234701500666035	86	76	0.000124888836998892	0.00108236992065706
GO.0044238.primary.metabolic.process.primary.metabolic.process	case	Control_Healthy	0.858038656890586	0.227345348001642	86	74	0.000160545043784364	0.00125225134151804
GO.0009058.biosynthetic.process.biosynthetic.process	case	Community_acquired_pneumonia	3.25996850507987	0.899861523094539	86	23	0.000291493561922604	0.00206695434817846
GO.0005488.binding.binding	case	Control_Healthy	0.692069449772177	0.200185074928073	86	81	0.00054592474927616	0.00354851087029504
GO.0009058.biosynthetic.process.biosynthetic.process	case	Control_Healthy	3.02508254476386	0.898125545519303	86	23	0.000756557745491998	0.00453934647295199
GO.0043170.macromolecule.metabolic.process.macromolecule.metabolic.process	case	Control_Healthy	1.15682227919864	0.356018506741544	86	66	0.00115676437837876	0.00644483010811025
GO.0003824.catalytic.activity.catalytic.activity	case	Control_Healthy	0.404489132041862	0.135339822587342	86	86	0.00280173816407384	0.014569038453184
GO.0044249.cellular.biosynthetic.process.cellular.biosynthetic.process	case	Community_acquired_pneumonia	3.84247759177144	1.34617187960569	86	12	0.00431217757235517	0.0210218656652314
GO.0019048.modulation.by.virus.of.host.process.modulation.by.virus.of.host.process	case	Community_acquired_pneumonia	-1.87326221039779	0.692449186128204	86	18	0.00682488324219863	0.0313141701700878
GO.0006725.cellular.aromatic.compound.metabolic.process.cellular.aromatic.compound.metabolic.process	case	Control_Healthy	2.6142760623822	0.981375248797038	86	27	0.00772427343039021	0.0326920559452646
GO.0008152.metabolic.process.metabolic.process	case	Community_acquired_pneumonia	0.499395095946147	0.188194213834721	86	76	0.00796344952512855	0.0326920559452646
GO.0065007.biological.regulation.biological.regulation	case	Control_Healthy	-4.30309826719924	1.64847943410109	86	16	0.00904512369449598	0.0352759824085343
GO.0065007.biological.regulation.biological.regulation	case	Community_acquired_pneumonia	-1.96619934653201	0.786371042209866	86	16	0.0124072216068161	0.0460839659681741
GO.0006807.nitrogen.compound.metabolic.process.nitrogen.compound.metabolic.process	case	Control_Healthy	0.682419215193191	0.277641393727086	86	70	0.0139745868555989	0.0495462624880324
